,OverallQual,Neighborhood,Foundation,OverallQual,GrLivArea,GarageCars,TotalBsmtSF,FullBath,YearBuilt,SalePrice
466,7,NAmes,CBlock,7,1277,2,1277,1,1970,167000
467,5,NAmes,CBlock,5,1644,1,728,1,1942,146500
468,8,NridgHt,PConc,8,1634,3,1626,2,2006,250000
469,6,SawyerW,PConc,6,1710,2,832,2,1993,187000
470,8,StoneBr,PConc,8,1502,2,1488,1,1985,212000
471,7,NWAmes,CBlock,7,1969,2,808,2,1977,190000
472,6,Edwards,PConc,6,1072,2,547,1,2005,148000
473,8,NridgHt,PConc,8,1976,3,1976,2,2006,440000
474,8,StoneBr,PConc,8,1652,2,1494,2,2000,251000
475,5,Sawyer,CBlock,5,970,2,970,1,1963,132500
476,6,CollgCr,PConc,6,1493,2,1478,2,1997,208900
477,9,NridgHt,PConc,9,2643,3,2153,2,2006,380000
478,8,CollgCr,PConc,8,1718,3,1705,2,2007,297000
479,4,OldTown,BrkTil,4,1131,2,907,1,1937,89471
480,9,NridgHt,PConc,9,1850,3,1833,2,2004,326000
481,9,NridgHt,PConc,9,1792,3,1792,2,2003,374000
482,7,OldTown,PConc,7,1826,1,910,1,1915,155000
483,6,Mitchel,PConc,6,1216,2,1216,2,1998,164000
484,5,Sawyer,CBlock,5,999,1,999,1,1962,132500
485,5,NAmes,CBlock,5,1113,1,1113,1,1950,147000
486,5,NAmes,CBlock,5,1073,2,1073,1,1965,156000
487,5,NWAmes,CBlock,5,1484,2,1484,2,1971,175000
489,4,MeadowV,CBlock,4,630,1,630,1,1970,86000
490,5,MeadowV,PConc,5,1304,1,264,1,1976,115000
491,6,NAmes,CBlock,6,1578,1,806,1,1941,133000
492,6,Gilbert,PConc,6,1456,2,728,2,2006,172785
493,5,NAmes,CBlock,5,1269,1,1269,1,1960,155000
494,5,OldTown,BrkTil,5,886,1,190,1,1938,91300
496,8,NoRidge,PConc,8,3228,2,3200,3,1992,430000
497,7,BrkSide,PConc,7,1820,1,1026,2,1925,184000
498,5,Sawyer,PConc,5,899,1,864,1,1967,130000
499,5,NAmes,CBlock,5,912,1,912,1,1958,120000
500,6,BrDale,CBlock,6,1218,1,672,1,1973,113000
501,7,Somerst,PConc,7,1768,2,866,2,2005,226700
502,5,Edwards,CBlock,5,1214,2,1214,1,1965,140000
503,7,Crawfor,CBlock,7,1801,2,1501,2,1959,289000
504,6,NPkVill,CBlock,6,1322,2,855,2,1974,147000
505,5,OldTown,CBlock,5,1960,2,960,2,1952,124500
506,8,SawyerW,PConc,8,1911,2,777,2,1993,215000
507,6,Somerst,PConc,6,1218,2,1218,2,2009,208300
508,7,OldTown,BrkTil,7,1378,2,689,2,1928,161000
509,5,NAmes,CBlock,5,1041,1,1041,1,1959,124500
510,5,NAmes,CBlock,5,1363,1,1008,1,1951,164900
511,7,NridgHt,PConc,7,1368,2,1368,2,2005,202665
512,5,NAmes,CBlock,5,864,2,864,1,1958,129900
513,6,Mitchel,PConc,6,1080,2,1084,1,1983,134000
514,5,Crawfor,BrkTil,5,789,1,768,1,1926,96500
515,10,NridgHt,CBlock,10,2020,3,2006,2,2009,402861
516,6,NWAmes,CBlock,6,2119,2,689,2,1972,158000
517,7,NoRidge,PConc,7,2344,3,1264,2,1996,265000
518,6,CollgCr,PConc,6,1796,2,794,2,1998,211000
519,7,Crawfor,BrkTil,7,2080,1,1276,1,1926,234000
521,6,NAmes,CBlock,6,1244,1,1244,1,1957,150000
522,6,BrkSide,CBlock,6,1664,2,1004,2,1947,159000
524,7,NoRidge,PConc,7,2398,3,1379,2,1996,315750
525,7,Somerst,PConc,7,1266,2,1257,2,2005,176000
526,5,NAmes,CBlock,5,928,1,928,1,1956,132000
527,9,NridgHt,PConc,9,2713,3,1452,2,2008,446261
528,4,Edwards,BrkTil,4,605,0,528,1,1920,86000
530,6,Timber,CBlock,6,1509,2,1461,2,1988,175000
531,6,BrkSide,BrkTil,6,1362,2,611,2,1920,128000
532,5,NAmes,Slab,5,827,1,0,1,1955,107500
534,8,Gilbert,PConc,8,1414,2,707,2,2004,178000
535,5,Edwards,CBlock,5,1347,0,1117,1,1910,107500
536,7,CollgCr,PConc,7,1724,2,880,2,1998,188000
537,4,NAmes,CBlock,4,864,2,864,1,1972,111250
538,5,Sawyer,CBlock,5,1159,1,1051,1,1968,158000
539,8,CollgCr,PConc,8,1601,2,1581,2,2001,272000
540,9,Timber,PConc,9,1838,3,1838,2,2006,315000
541,8,NoRidge,PConc,8,2285,3,969,2,2000,248000
542,7,NWAmes,PConc,7,1680,2,1650,2,1998,213250
543,7,NAmes,PConc,7,767,1,723,1,1998,133000
544,7,Gilbert,PConc,7,1496,2,654,2,2006,179665
545,7,NWAmes,PConc,7,2183,3,1204,2,1988,229000
546,6,BrkSide,BrkTil,6,1635,2,1065,1,1923,210000
547,5,Mitchel,CBlock,5,768,2,768,1,1970,129500
548,5,OldTown,CBlock,5,825,2,825,1,1955,125000
549,7,Somerst,PConc,7,2094,2,912,2,2003,263000
550,6,NPkVill,CBlock,6,1069,2,1069,2,1977,140000
551,5,OldTown,CBlock,5,928,1,928,1,1957,112500
552,8,NridgHt,PConc,8,1717,3,1709,2,2006,255500
553,4,Edwards,CBlock,4,1126,2,0,2,1949,108000
554,7,NridgHt,PConc,7,2046,3,998,2,2003,284000
555,5,BrkSide,BrkTil,5,1048,1,993,1,1922,113000
556,5,NAmes,CBlock,5,1092,1,1092,1,1957,141000
557,4,IDOTRR,CBlock,4,1336,1,637,1,1920,108000
558,7,Gilbert,PConc,7,1446,2,729,2,1996,175000
559,7,Blmngtn,PConc,7,1557,2,1374,2,2003,234000
560,5,Sawyer,CBlock,5,1392,2,1392,1,1957,121500
561,5,Mitchel,CBlock,5,1389,2,1389,1,1974,170000
562,5,Edwards,CBlock,5,996,0,996,1,1940,108000
563,6,Edwards,BrkTil,6,1674,2,1163,2,1918,185000
564,7,NoRidge,PConc,7,2295,2,1095,2,1992,268000
565,6,SWISU,PConc,6,1647,1,806,1,1915,128000
566,9,StoneBr,PConc,9,2504,3,1122,2,2005,325000
567,7,NridgHt,PConc,7,1535,2,1517,2,2004,214000
568,8,SawyerW,CBlock,8,2132,2,1496,1,1983,316600
569,5,NAmes,CBlock,5,943,2,943,1,1979,135960
570,5,NAmes,CBlock,5,1728,2,1728,2,1965,142600
571,6,NAmes,CBlock,6,864,1,864,1,1959,120000
572,7,Timber,PConc,7,1692,2,846,2,2009,224500
573,7,Gilbert,PConc,7,1430,2,384,2,2000,170000
574,5,NAmes,CBlock,5,1109,1,372,1,1971,139000
575,5,NAmes,CBlock,5,1216,1,832,1,1947,118500
576,7,SWISU,BrkTil,7,1477,1,861,2,1928,145000
577,5,Sawyer,CBlock,5,1320,2,1164,1,1966,164500
578,7,Somerst,PConc,7,1392,2,689,2,2007,146000
579,5,OldTown,BrkTil,5,1795,1,1050,2,1954,131500
580,6,NAmes,CBlock,6,1429,2,1144,1,1960,181900
581,8,NridgHt,PConc,8,2042,3,2042,2,2008,253293
582,6,Edwards,CBlock,6,816,0,816,1,1990,118500
584,4,BrkSide,BrkTil,4,1573,1,884,1,1935,133000
585,8,Timber,PConc,8,2028,3,1868,2,2005,369900
586,6,BrkSide,BrkTil,6,838,1,816,1,1918,130000
587,5,Sawyer,CBlock,5,860,2,840,1,1982,137000
588,5,ClearCr,CBlock,5,1473,1,1437,1,1968,143000
589,5,BrkSide,BrkTil,5,935,1,742,1,1930,79500
590,7,CollgCr,PConc,7,1582,2,770,2,2004,185900
591,10,NridgHt,PConc,10,2296,3,1722,2,2008,451950
592,5,Mitchel,PConc,5,816,2,816,1,1982,138000
593,6,CollgCr,PConc,6,848,2,848,1,2003,140000
594,5,CollgCr,CBlock,5,924,1,924,1,1975,110000
595,8,StoneBr,PConc,8,1826,3,1814,2,2005,319000
596,6,OldTown,CBlock,6,1368,1,684,1,1910,114504
597,7,Blmngtn,PConc,7,1402,3,1258,0,2006,194201
598,5,Crawfor,CBlock,5,1647,2,1430,2,1977,217500
599,6,Blueste,CBlock,6,1556,2,716,2,1980,151000
600,8,NridgHt,PConc,8,1904,2,1058,2,2005,275000
601,6,IDOTRR,PConc,6,1375,1,780,1,1937,141000
602,8,SawyerW,PConc,8,1915,2,908,2,1992,220000
603,7,Somerst,PConc,7,1200,2,600,2,2004,151000
604,7,CollgCr,PConc,7,1494,2,1494,2,2002,221000
605,7,NAmes,CBlock,7,1986,2,768,2,1965,205000
606,5,CollgCr,PConc,5,1040,2,1040,1,1996,152000
607,5,Edwards,CBlock,5,2008,1,896,3,1948,225000
608,8,Crawfor,PConc,8,3194,2,965,2,1934,359100
609,4,Sawyer,CBlock,4,1029,1,1029,1,1961,118500
610,9,CollgCr,PConc,9,2153,3,1440,2,2000,313000
611,6,NWAmes,CBlock,6,1032,2,1032,2,1978,148000
612,8,CollgCr,PConc,8,1872,2,1299,2,2001,261500
613,5,Mitchel,PConc,5,1120,0,1120,1,2007,147000
614,4,MeadowV,CBlock,4,630,0,630,1,1972,75500
615,6,NAmes,PConc,6,1054,2,936,1,1963,137500
616,6,Gilbert,PConc,6,1509,2,783,2,2002,183200
617,6,NAmes,CBlock,6,832,2,832,1,1954,105500
618,9,NridgHt,PConc,9,1828,3,1822,2,2007,314813
619,8,Timber,PConc,8,2262,3,1482,2,2003,305000
620,3,Edwards,BrkTil,3,864,0,864,1,1914,67000
621,6,NWAmes,CBlock,6,2614,2,1522,2,1974,240000
622,5,Sawyer,CBlock,5,980,2,980,1,1977,135000
623,6,Somerst,PConc,6,1512,2,756,2,2000,168500
624,6,NWAmes,CBlock,6,1790,2,732,1,1972,165150
625,6,NAmes,CBlock,6,1116,2,1116,1,1962,160000
626,5,NAmes,CBlock,5,1422,1,978,1,1960,139900
627,6,NAmes,CBlock,6,1520,1,1156,1,1955,153000
628,5,NAmes,PConc,5,2080,2,1040,1,1969,135000
629,6,NAmes,CBlock,6,1350,2,1248,1,1964,168500
631,8,NridgHt,PConc,8,1554,2,1554,2,2006,209500
632,7,NWAmes,CBlock,7,1411,2,1386,2,1977,82500
633,5,NAmes,CBlock,5,1056,1,1056,1,1954,139400
634,6,OldTown,CBlock,6,1056,2,1056,0,1980,144000
637,5,OldTown,CBlock,5,1387,1,811,2,1954,93000
638,5,Edwards,CBlock,5,796,0,796,1,1910,85000
639,8,Blmngtn,PConc,8,1567,3,1520,2,2006,264561
640,8,NridgHt,PConc,8,1518,2,1518,1,2003,274000
641,7,Somerst,PConc,7,1929,2,1057,2,2001,226000
642,8,NAmes,CBlock,8,2704,2,1952,2,1972,345000
643,5,NWAmes,CBlock,5,1620,2,780,2,1969,152000
644,9,Somerst,PConc,9,1766,3,1766,2,2009,370878
645,6,NAmes,CBlock,6,981,2,981,1,1971,143250
646,5,NAmes,CBlock,5,1048,2,0,1,1950,98300
647,6,Edwards,CBlock,6,1094,2,1094,1,1953,155000
648,6,NAmes,CBlock,6,1839,2,756,1,1966,155000
649,4,MeadowV,CBlock,4,630,0,630,1,1970,84500
650,7,Somerst,PConc,7,1665,2,813,2,2007,205950
651,4,Edwards,CBlock,4,1510,1,755,1,1940,108000
652,7,CollgCr,PConc,7,1716,2,880,2,1996,191000
653,6,IDOTRR,CBlock,6,1469,1,756,1,1906,135000
654,8,NoRidge,PConc,8,2113,3,2109,2,1995,350000
655,6,BrDale,CBlock,6,1092,1,525,1,1971,88000
656,5,NAmes,CBlock,5,1053,1,1053,1,1959,145500
657,7,Crawfor,BrkTil,7,1502,1,776,1,1931,149000
658,6,NAmes,CBlock,6,1458,1,912,1,1948,97500
659,5,Edwards,PConc,5,1486,2,1486,1,1964,167000
660,7,NWAmes,CBlock,7,1935,2,793,2,1976,197900
661,8,NoRidge,PConc,8,2448,3,1629,2,1994,402000
662,6,NAmes,CBlock,6,1392,2,1392,1,1968,110000
663,4,Edwards,CBlock,4,1181,2,1138,2,1972,137500
665,8,Gilbert,PConc,8,1936,2,1406,2,2000,230500
666,6,NAmes,CBlock,6,2380,2,1021,2,1965,129000
667,6,SawyerW,PConc,6,1679,2,1408,2,1994,193500
668,5,Sawyer,CBlock,5,1437,2,1188,1,1956,168000
669,4,Crawfor,BrkTil,4,1180,1,700,1,1922,137500
670,6,CollgCr,PConc,6,1476,2,738,2,2005,173500
671,6,Edwards,BrkTil,6,1369,1,672,2,1925,103600
672,6,Veenker,CBlock,6,1208,2,1208,1,1977,165000
673,6,Crawfor,PConc,6,1839,2,1477,2,1957,257500
674,6,NAmes,CBlock,6,1136,1,1136,1,1965,140000
675,6,NPkVill,CBlock,6,1441,2,855,2,1978,148500
677,5,OldTown,BrkTil,5,792,1,768,1,1924,109500
678,8,StoneBr,PConc,8,2046,3,2046,2,2008,372500
679,5,Sawyer,CBlock,5,988,2,988,1,1961,128500
680,6,SawyerW,CBlock,6,923,1,923,2,1980,143000
681,5,SWISU,BrkTil,5,1520,1,793,1,1932,159434
682,6,ClearCr,PConc,6,1291,2,1291,1,1996,173000
683,9,CollgCr,PConc,9,1668,3,1626,2,2002,285000
684,7,NoRidge,PConc,7,1839,2,1195,2,1998,221000
685,7,StoneBr,CBlock,7,2090,2,1190,2,1984,207500
686,7,Somerst,PConc,7,1761,2,874,3,2007,227875
687,7,Somerst,PConc,7,1102,2,551,2,2004,148800
688,8,StoneBr,PConc,8,1419,2,1419,2,2007,392000
689,6,NridgHt,PConc,6,1362,2,1362,2,2005,194700
690,6,CollgCr,PConc,6,848,2,848,1,2004,141000
692,7,Timber,PConc,7,2519,2,1210,2,1989,335000
693,5,OldTown,BrkTil,5,1073,1,1073,1,1921,108480
694,5,BrkSide,BrkTil,5,1539,2,927,1,1936,141500
695,6,Timber,CBlock,6,1137,2,1112,2,1987,176000
696,5,BrkSide,CBlock,5,616,1,616,1,1921,89000
697,5,Edwards,PConc,5,1148,1,980,1,1952,123500
698,5,Sawyer,CBlock,5,894,1,894,1,1965,138500
699,7,Somerst,PConc,7,1391,2,1391,2,2004,196000
700,8,Timber,PConc,8,1800,3,1800,2,2002,312500
701,7,NWAmes,CBlock,7,1164,2,1164,1,1969,140000
702,8,StoneBr,PConc,8,2576,3,1234,2,2006,361919
703,5,OldTown,BrkTil,5,1812,2,360,2,1900,140000
704,7,CollgCr,PConc,7,1484,2,1473,2,2004,213000
706,7,ClearCr,CBlock,7,1824,2,1643,2,1971,302000
707,8,NridgHt,PConc,8,1324,2,1324,2,2006,254000
708,7,Gilbert,PConc,7,1456,2,728,2,2007,179540
709,5,Sawyer,PConc,5,904,1,876,1,1966,109900
710,3,BrkSide,CBlock,3,729,0,270,1,1935,52000
712,8,StoneBr,PConc,8,1228,2,1228,2,1988,189000
713,4,BrkSide,CBlock,4,960,2,960,1,1970,129000
714,6,Sawyer,CBlock,6,1479,2,725,2,1976,130500
715,6,NWAmes,CBlock,6,1350,2,1064,2,1974,165000
716,7,OldTown,BrkTil,7,2554,2,718,1,1890,159500
717,5,NWAmes,CBlock,5,1178,2,1176,1,1973,157000
718,7,NoRidge,PConc,7,2418,3,1311,2,1993,341000
719,5,CollgCr,CBlock,5,971,1,971,1,1969,128500
720,8,StoneBr,PConc,8,1742,2,1742,2,1985,275000
721,6,CollgCr,PConc,6,848,2,848,1,2004,143000
722,4,NAmes,CBlock,4,864,2,864,1,1970,124500
723,4,Edwards,PConc,4,1470,1,941,2,1954,135000
724,9,Edwards,PConc,9,1698,3,1698,2,2007,320000
725,4,NAmes,CBlock,4,864,2,864,1,1970,120500
726,6,Crawfor,CBlock,6,1680,2,880,2,1988,222000
727,7,CollgCr,PConc,7,1232,2,1232,2,2007,194500
728,5,NAmes,CBlock,5,1776,3,1584,2,1958,110000
729,4,IDOTRR,CBlock,4,1208,2,780,1,1925,103000
730,8,StoneBr,PConc,8,1616,2,1595,2,1995,236500
731,7,Timber,PConc,7,1146,2,868,2,2003,187500
732,7,CollgCr,PConc,7,2031,2,1153,2,1998,222500
733,5,Sawyer,CBlock,5,1144,1,864,1,1961,131400
734,5,Sawyer,PConc,5,948,1,948,1,1968,108000
735,7,OldTown,BrkTil,7,1768,2,880,1,1914,163000
736,3,NAmes,CBlock,3,1040,2,0,2,1950,93500
737,8,Gilbert,PConc,8,1801,3,893,2,2005,239900
738,5,Edwards,CBlock,5,1200,0,1200,3,1987,179000
739,7,CollgCr,PConc,7,1728,2,864,2,2004,190000
740,5,OldTown,BrkTil,5,1432,2,264,2,1910,132000
741,6,Sawyer,CBlock,6,912,1,912,1,1961,142000
742,7,SawyerW,PConc,7,1349,2,1349,2,2000,179000
743,5,Sawyer,CBlock,5,1464,2,520,2,1963,175000
744,8,StoneBr,PConc,8,1337,2,1337,2,1993,180000
746,7,Gilbert,PConc,7,2256,2,952,2,2000,236000
748,7,NoRidge,PConc,7,1720,2,1720,2,1996,260400
749,4,Edwards,Slab,4,1529,1,0,2,1945,98000
750,4,OldTown,BrkTil,4,1140,0,576,1,1910,96500
751,7,Gilbert,PConc,7,1320,2,660,2,2003,162000
752,6,CollgCr,PConc,6,1494,2,1479,2,1997,217000
753,8,NridgHt,PConc,8,2098,3,1030,2,2005,275500
754,6,NAmes,CBlock,6,1026,2,1026,1,1969,156000
755,6,Somerst,PConc,6,1471,2,729,2,1999,172500
756,8,CollgCr,PConc,8,1768,2,866,2,2007,212000
757,6,Sawyer,CBlock,6,1386,2,672,2,1978,158900
758,7,Somerst,PConc,7,1501,2,744,2,1999,179400
759,8,NoRidge,PConc,8,2531,3,1318,2,1995,290000
760,6,NAmes,CBlock,6,864,1,864,1,1959,127500
761,5,BrkSide,PConc,5,1301,2,1145,1,1924,100000
762,7,Somerst,PConc,7,1547,2,756,2,2009,215200
763,8,NoRidge,PConc,8,2365,3,1252,2,1999,337000
764,8,Veenker,PConc,8,1494,2,1494,1,1995,270000
765,9,Somerst,PConc,9,1506,2,1498,2,2008,264132
766,7,NWAmes,CBlock,7,1714,2,980,2,1988,196500
767,6,Mitchel,CBlock,6,1750,1,983,2,1940,160000
768,7,CollgCr,PConc,7,1836,2,1860,2,2004,216837
770,5,Sawyer,CBlock,5,858,2,858,1,1982,134900
771,4,Edwards,CBlock,4,1220,2,836,1,1951,102000
772,6,Edwards,CBlock,6,1117,2,1029,1,1976,107000
773,5,NAmes,CBlock,5,912,1,912,1,1958,114500
774,8,NridgHt,PConc,8,1973,3,1935,2,2006,395000
775,6,Mitchel,PConc,6,1204,2,1204,2,1998,162000
776,7,CollgCr,PConc,7,1614,3,1614,2,2005,221500
777,5,Sawyer,CBlock,5,894,2,864,1,1974,142500
778,5,SawyerW,Slab,5,2020,2,0,2,1977,144000
779,6,Mitchel,CBlock,6,1004,2,975,1,1977,135000
780,7,Gilbert,PConc,7,1253,2,1237,2,1995,176000
781,6,SawyerW,PConc,6,1603,2,761,2,1992,175900
782,7,CollgCr,PConc,7,1430,2,1413,2,2001,187100
783,5,Mitchel,PConc,5,1110,2,1097,1,1978,165500
784,6,OldTown,CBlock,6,1484,0,742,2,1914,128000
785,6,NWAmes,CBlock,6,1342,2,1372,2,1967,161500
786,5,OldTown,PConc,5,1652,1,686,2,1915,139000
787,7,SawyerW,PConc,7,2084,2,956,2,2004,233000
788,4,OldTown,CBlock,4,901,1,901,1,1954,107900
789,6,ClearCr,CBlock,6,2087,2,832,2,1966,187500
790,7,Blmngtn,PConc,7,1145,2,1145,2,2005,160200
791,6,Mitchel,PConc,6,1062,2,1029,1,1976,146800
792,7,NoRidge,PConc,7,2013,2,1117,2,1996,269790
793,8,Somerst,PConc,8,1496,2,1496,2,2007,225000
794,7,Gilbert,PConc,7,1895,2,712,2,1994,194500
795,6,SawyerW,CBlock,6,1564,2,650,2,1980,171000
796,6,Sawyer,CBlock,6,1285,2,660,1,1977,143500
797,5,NAmes,CBlock,5,773,1,773,1,1953,110000
798,9,NridgHt,PConc,9,3140,3,1926,3,2008,485000
799,5,SWISU,BrkTil,5,1768,1,731,1,1937,175000
800,6,ClearCr,PConc,6,1688,2,616,2,1997,200000
801,4,IDOTRR,CBlock,4,1196,2,1196,1,1916,109900
802,7,CollgCr,PConc,7,1456,2,728,2,2005,189000
804,5,NAmes,CBlock,5,1128,1,936,1,1954,118000
805,7,Somerst,PConc,7,1428,2,1417,2,2008,227680
806,5,NAmes,PConc,5,980,1,980,2,1967,135500
807,5,BrkSide,CBlock,5,1576,2,1324,1,1923,223500
808,5,NAmes,CBlock,5,1086,2,1024,1,1966,159950
810,6,NWAmes,CBlock,6,1309,2,1040,1,1974,181000
811,6,CollgCr,PConc,6,848,2,848,1,2004,144500
813,6,NAmes,CBlock,6,1442,1,1442,1,1958,157900
814,5,Edwards,BrkTil,5,1250,1,686,1,1918,116000
815,7,CollgCr,PConc,7,1661,2,1649,2,1998,224900
816,5,NAmes,CBlock,5,1008,1,1008,1,1954,137000
817,8,Mitchel,PConc,8,1689,3,1568,2,2002,271000
818,6,ClearCr,CBlock,6,1052,2,1010,1,1971,155000
819,7,NridgHt,PConc,7,1358,2,1358,2,2009,224000
820,7,CollgCr,PConc,7,1640,2,798,2,2003,183000
821,4,OldTown,CBlock,4,936,2,936,1,1953,93000
822,7,Gilbert,PConc,7,1733,2,847,2,2003,225000
823,6,SWISU,BrkTil,6,1489,1,778,2,1940,139500
824,8,Somerst,PConc,8,1489,2,1489,2,2006,232600
825,10,NridgHt,PConc,10,2084,3,2078,2,2007,385000
826,5,BrkSide,BrkTil,5,784,0,784,1,1924,109500
827,7,SawyerW,PConc,7,1434,2,1454,2,2001,189000
829,7,Somerst,PConc,7,1223,2,600,2,2005,147400
830,6,NAmes,CBlock,6,1392,2,1392,1,1957,166000
831,7,Somerst,PConc,7,1200,2,600,2,2005,151000
832,7,CollgCr,PConc,7,1829,2,941,2,2003,237000
833,6,NAmes,CBlock,6,1516,2,1516,1,1964,167000
834,5,NAmes,CBlock,5,1144,2,1144,1,1961,139950
835,4,Sawyer,CBlock,4,1067,2,1067,2,1950,128000
836,5,OldTown,BrkTil,5,1559,2,1559,1,1948,153500
837,6,BrDale,CBlock,6,987,1,483,1,1973,100000
838,5,CollgCr,PConc,5,1099,1,1099,1,1995,144000
839,5,Edwards,CBlock,5,1200,1,768,1,1946,130500
840,6,SWISU,BrkTil,6,1482,1,672,2,1925,140000
841,5,OldTown,PConc,5,1539,2,650,2,1904,157500
842,6,NAmes,CBlock,6,1165,2,1127,1,1966,174900
843,5,NAmes,CBlock,5,1800,0,1800,2,1961,141000
844,5,OldTown,BrkTil,5,1416,3,876,1,1915,153900
845,5,Sawyer,CBlock,5,1701,2,1390,2,1975,171000
846,7,SawyerW,PConc,7,1775,2,740,2,1993,213000
847,5,CollgCr,CBlock,5,864,1,864,1,1972,133500
848,6,ClearCr,BrkTil,6,2358,2,907,3,1908,240000
849,6,Veenker,CBlock,6,1855,2,528,2,1976,187000
850,6,CollgCr,PConc,6,848,2,848,1,2003,131500
851,8,Blmngtn,PConc,8,1456,2,1273,2,2003,215000
852,7,Crawfor,CBlock,7,1646,1,918,2,1941,164000
853,6,NAmes,CBlock,6,1445,2,1127,1,1964,158000
854,5,Sawyer,CBlock,5,1779,2,1763,1,1955,170000
855,5,Sawyer,CBlock,5,1040,1,1040,1,1962,127000
856,6,CollgCr,CBlock,6,1026,2,940,1,1978,147000
857,6,Gilbert,PConc,6,1481,2,702,2,1994,174000
858,7,NWAmes,CBlock,7,1370,2,1090,2,1976,152000
859,6,NWAmes,CBlock,6,2654,2,1054,2,1968,250000
860,7,Crawfor,BrkTil,7,1426,1,912,1,1918,189950
861,5,Sawyer,PConc,5,1039,2,1039,1,1965,131500
862,6,SawyerW,PConc,6,1097,2,1040,2,1984,152000
863,5,NAmes,CBlock,5,1148,1,1148,1,1959,132500
864,7,Somerst,PConc,7,1372,2,1372,2,2007,250580
865,5,NAmes,CBlock,5,1002,2,1002,1,1970,148500
866,8,Timber,PConc,8,1646,3,1638,2,2006,248900
867,4,Sawyer,CBlock,4,1120,2,1040,1,1961,129000
868,5,Gilbert,Slab,5,2320,2,0,2,1948,169000
869,7,SawyerW,PConc,7,1949,2,1050,2,1993,236000
870,5,NAmes,CBlock,5,894,1,894,1,1962,109500
871,6,CollgCr,PConc,6,1682,2,804,2,1998,200500
872,5,NAmes,Stone,5,910,2,105,1,1953,116000
873,5,NAmes,CBlock,5,1268,1,832,1,1949,133000
874,5,OldTown,CBlock,5,1131,1,676,1,1941,66500
875,8,Somerst,PConc,8,2610,2,1184,2,2007,303477
876,4,Mitchel,PConc,4,1040,2,1064,1,1963,132250
877,9,NridgHt,PConc,9,2224,3,1462,2,2004,350000
878,5,Sawyer,CBlock,5,1155,2,1109,1,1961,148000
879,5,CollgCr,CBlock,5,864,1,864,1,1978,136500
880,5,Edwards,PConc,5,1090,2,1090,1,2005,157000
881,7,Timber,CBlock,7,1717,2,1156,2,1990,187500
882,6,Gilbert,PConc,6,1593,2,808,2,1992,178000
883,4,SWISU,PConc,4,2230,1,795,1,1912,118500
884,5,NAmes,CBlock,5,892,1,892,1,1967,100000
885,9,Somerst,PConc,9,1709,2,1698,2,1999,328900
886,5,NAmes,CBlock,5,1712,2,1626,2,1959,145000
887,5,Edwards,PConc,5,1393,1,816,1,1955,135500
888,8,NAmes,PConc,8,2217,2,2217,2,1970,268000
889,6,NAmes,CBlock,6,1505,2,1505,1,1953,149500
890,5,NAmes,CBlock,5,924,2,672,1,1949,122900
891,6,Sawyer,CBlock,6,1683,2,918,2,1978,172500
892,6,Sawyer,CBlock,6,1068,1,1059,1,1963,154500
893,5,Sawyer,PConc,5,1383,1,1383,1,1954,165000
894,5,SawyerW,Slab,5,1535,2,0,2,1979,118858
895,6,NAmes,CBlock,6,1796,2,780,1,1963,140000
896,4,IDOTRR,BrkTil,4,951,1,951,1,1936,106500
897,5,SawyerW,Slab,5,2240,2,0,2,1979,142953
898,9,NridgHt,PConc,9,2364,3,2330,2,2009,611657
899,5,Sawyer,CBlock,5,1236,1,912,1,1961,135000
900,4,NAmes,CBlock,4,858,1,858,1,1971,110000
901,5,NAmes,CBlock,5,1306,1,992,1,1957,153000
902,7,Gilbert,PConc,7,1509,2,783,2,2003,180000
903,7,Gilbert,PConc,7,1670,3,1670,2,2006,240000
904,5,Sawyer,CBlock,5,902,1,876,1,1967,125500
905,5,NAmes,CBlock,5,1063,1,1056,1,1954,128000
906,8,Somerst,PConc,8,1636,3,1623,2,2006,255000
907,7,Crawfor,CBlock,7,2057,1,1017,1,1936,250000
908,5,Mitchel,CBlock,5,902,2,864,1,1983,131000
909,6,Gilbert,PConc,6,1484,2,742,2,2005,174000
910,5,NAmes,CBlock,5,2274,2,1105,2,1960,154300
911,5,CollgCr,CBlock,5,1268,1,1268,1,1977,143500
912,5,BrkSide,BrkTil,5,1015,1,768,1,1925,88000
913,5,Crawfor,CBlock,5,2002,3,1001,2,1949,145000
914,6,Somerst,PConc,6,1224,2,612,2,2009,173733
915,4,MeadowV,CBlock,4,1092,1,546,1,1970,75000
916,2,IDOTRR,CBlock,2,480,1,480,0,1949,35311
917,4,Edwards,CBlock,4,1229,1,1134,1,1956,135000
918,7,SawyerW,PConc,7,2127,3,1104,2,1991,238000
919,6,NAmes,CBlock,6,1414,2,1184,1,1958,176500
920,6,SawyerW,PConc,6,1721,2,928,2,1994,201000
922,6,Gilbert,PConc,6,1316,2,1316,2,2005,169990
923,6,SawyerW,PConc,6,1617,2,1604,2,1993,193000
924,6,NWAmes,CBlock,6,1686,2,1686,2,1980,207500
925,5,NWAmes,PConc,5,1126,2,1126,2,1977,175000
926,8,NridgHt,PConc,8,2374,3,1181,2,2003,285000
927,7,NWAmes,CBlock,7,1978,2,832,2,1968,176000
928,8,CollgCr,PConc,8,1788,2,1753,2,2001,236500
929,7,Gilbert,PConc,7,2236,2,964,2,1997,222000
